Citation,PR_ID,Year,ST_OB,ES_ID,CHT_ID,Ecosystem_type,Longitude,Latitude,Study_design,Continent,Region,Country,Climat_type,Source,Variable,Impact_type,Level_ecological_organization,nT,mT,sdT,nC,mC,sdC,num.shared.control,N.control.sc
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,52,ES379,PUB25_7,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (10-20cm) (Rainy season),C pools,Ecosystem,9,2.99,0.442877046,9,2.08,0.113096396,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,53,ES380,PUB25_8,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (10-20cm) (Summer season),C pools,Ecosystem,9,1.82,0.137167168,9,1.76,0.11142321,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,54,ES381,PUB25_9,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (10-20cm) (Winter season),C pools,Ecosystem,9,1.44,0.173181402,9,1.53,0.209460926,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,55,ES382,PUB25_10,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (20-30cm) (Rainy season),C pools,Ecosystem,9,2.84,0.503193207,9,2.17,0.205733684,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,56,ES383,PUB25_11,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (20-30cm) (Summer season),C pools,Ecosystem,9,1.71,0.231593221,9,1.76,0.301452055,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,57,ES384,PUB25_12,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/organic carbon ratio (20-30cm) (Winter season),C pools,Ecosystem,9,1.67,0.30532901,9,1.83,0.134201663,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,58,ES385,PUB25_4,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (0-10cm) (Rainy season),N pools,Ecosystem,9,5.34,0.234177857,9,4.08,0.336323684,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,59,ES386,PUB25_5,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (0-10cm) (Summer season),N pools,Ecosystem,9,3.43,0.096214817,9,3.16,0.293616703,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,60,ES387,PUB25_6,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (0-10cm) (Winter season),N pools,Ecosystem,9,3.23,0.267872745,9,2.89,0.104961619,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,61,ES388,PUB25_7,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (10-20cm) (Rainy season),N pools,Ecosystem,9,5.2,0.949001623,9,4.22,0.965583777,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,62,ES389,PUB25_8,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (10-20cm) (Summer season),N pools,Ecosystem,9,3.4,0.218670039,9,3,0.218670039,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,63,ES390,PUB25_9,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (10-20cm) (Winter season),N pools,Ecosystem,9,2.58,0.305444588,9,2.67,0.473225561,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,64,ES391,PUB25_10,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (20-30cm) (Rainy season),N pools,Ecosystem,9,4.11,1.058105487,9,4.68,0.856051736,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,65,ES392,PUB25_11,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (20-30cm) (Summer season),N pools,Ecosystem,9,3.09,1.087610822,9,3.44,0.43527285,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,66,ES393,PUB25_12,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass nitrogen/nitrogen ratio (20-30cm) (Winter season),N pools,Ecosystem,9,2.56,0.280761792,9,2.9,0.469001873,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,67,ES394,PUB25_4,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (0-10cm) (Rainy season),C/N,Ecosystem,9,7.57,0.326284564,9,7.26,0.301336477,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,68,ES395,PUB25_5,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (0-10cm) (Summer season),C/N,Ecosystem,9,7.67,0.531140934,9,7.09,0.470525347,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,69,ES396,PUB25_6,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (0-10cm) (Winter season),C/N,Ecosystem,9,7.82,0.556884892,9,7.25,0.390892683,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,70,ES397,PUB25_7,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (10-20cm) (Rainy season),C/N,Ecosystem,9,5.52,1.104573844,9,5.57,0.907287536,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,71,ES398,PUB25_8,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (10-20cm) (Summer season),C/N,Ecosystem,9,5.76,0.999775111,9,5.84,0.833205013,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,72,ES399,PUB25_9,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (10-20cm) (Winter season),C/N,Ecosystem,9,6.08,0.861798898,9,6.56,1.24219015,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,73,ES400,PUB25_10,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (20-30cm) (Rainy season),C/N,Ecosystem,9,6.72,1.513196671,9,5.68,1.242733905,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,74,ES401,PUB25_11,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (20-30cm) (Summer season),C/N,Ecosystem,9,8.2,2.017364213,9,6.13,0.848439752,1,9
Kumar et al. 2021. Catena 207: 105624,PUB25,2021,75,ES402,PUB25_12,Forest,79.576083,29.372889,Observational,Asia-Tropical,Nainital,India,Sub-tropical,Figure 2,Soil microbial biomass carbon/Soil microbial biomass nitrogen ratio (20-30cm) (Winter season),C/N,Ecosystem,9,8.68,1.618948777,9,8.29,1.922523157,1,9
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,1,ES403,PUB26_1,Unknown,72.4238196,32.9274478,Observational,Asia-Tropical,Pothohar,Pakistan,,Table 1,No. of plant species (S)/10m2,Plant richness,Community,30,12.166,2.78,30,13.9,3.5,1,30
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,2,ES404,PUB26_1,Unknown,72.4238196,32.9274478,Observational,Asia-Tropical,Pothohar,Pakistan,,Table 1,Plant Abundance (N)/10m2,Plant abundance,Community,30,16.66,2.5,30,17.6667,1.75,1,30
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,3,ES405,PUB26_1,Unknown,72.4238196,32.9274478,Observational,Asia-Tropical,Pothohar,Pakistan,,Table 1,Plant species Richness (R),Plant richness,Community,30,2.7,0.91,30,3.74,0.72,1,30
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,4,ES406,PUB26_1,Unknown,72.4238196,32.9274478,Observational,Asia-Tropical,Pothohar,Pakistan,,Table 1,Species evenness (J?),Plant diversity,Community,30,0.92,0.25,30,0.98,0.005,1,30
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,5,ES407,PUB26_1,Unknown,72.4238196,32.9274478,Observational,Asia-Tropical,Pothohar,Pakistan,,Table 1,Shannon index of diversity,Plant diversity,Community,30,1.56,0.65,30,2.56,0.27,1,30
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,6,ES408,PUB26_1,Unknown,72.4238196,32.9274478,Observational,Asia-Tropical,Pothohar,Pakistan,,Table 1,Simpson index of dominance (?),Plant abundance,Community,30,0.17,0.08,30,0.27,0.23,1,30
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,7,ES409,PUB26_2,Unknown,72.36,33.76,Observational,Asia-Tropical,Attock,Pakistan,,Figure 4,No. of plant species (S)/10m2,Plant richness,Community,6,14.65,0.78,6,20.38,0.87,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,8,ES410,PUB26_2,Unknown,72.36,33.76,Observational,Asia-Tropical,Attock,Pakistan,,Figure 4,Plant Abundance (N)/10m2,Plant abundance,Community,6,13.4,0.65,6,23.27,1.08,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,9,ES411,PUB26_2,Unknown,72.36,33.76,Observational,Asia-Tropical,Attock,Pakistan,,Figure 4,Plant species Richness (R),Plant richness,Community,6,3.87,0.18,6,5.86,0.34,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,10,ES412,PUB26_2,Unknown,72.36,33.76,Observational,Asia-Tropical,Attock,Pakistan,,Figure 4,Shannon index of diversity,Plant diversity,Community,6,0.94,0.09,6,1.93,0.13,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,11,ES413,PUB26_2,Unknown,72.36,33.76,Observational,Asia-Tropical,Attock,Pakistan,,Figure 4,Species evenness (J?),Plant diversity,Community,6,2.62,0.18,6,4.52,0.26,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,12,ES414,PUB26_3,Unknown,72.85,32.93,Observational,Asia-Tropical,Chawal,Pakistan,,Figure 4,No. of plant species (S)/10m2,Plant richness,Community,6,8.83,0.37,6,14.82,0.6,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,13,ES415,PUB26_3,Unknown,72.85,32.93,Observational,Asia-Tropical,Chawal,Pakistan,,Figure 4,Plant Abundance (N)/10m2,Plant abundance,Community,6,13.87,0.64,6,17.76,0.78,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,14,ES416,PUB26_3,Unknown,72.85,32.93,Observational,Asia-Tropical,Chawal,Pakistan,,Figure 4,Plant species Richness (R),Plant richness,Community,6,2.63,0.17,6,4.43,0.2,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,15,ES417,PUB26_3,Unknown,72.85,32.93,Observational,Asia-Tropical,Chawal,Pakistan,,Figure 4,Shannon index of diversity,Plant diversity,Community,6,0.87,0.04,6,1.89,0.07,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,16,ES418,PUB26_3,Unknown,72.85,32.93,Observational,Asia-Tropical,Chawal,Pakistan,,Figure 4,Species evenness (J?),Plant diversity,Community,6,2.08,0.07,6,3.82,0.2,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,17,ES419,PUB26_4,Unknown,73.09,33.73,Observational,Asia-Tropical,Islamabad,Pakistan,,Figure 4,No. of plant species (S)/10m2,Plant richness,Community,6,12.15,0.53,6,18.2,0.83,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,18,ES420,PUB26_4,Unknown,73.09,33.73,Observational,Asia-Tropical,Islamabad,Pakistan,,Figure 4,Plant Abundance (N)/10m2,Plant abundance,Community,6,20.04,1,6,25.49,1.13,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,19,ES421,PUB26_4,Unknown,73.09,33.73,Observational,Asia-Tropical,Islamabad,Pakistan,,Figure 4,Plant species Richness (R),Plant richness,Community,6,3.43,0.23,6,5.45,0.23,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,20,ES422,PUB26_4,Unknown,73.09,33.73,Observational,Asia-Tropical,Islamabad,Pakistan,,Figure 4,Shannon index of diversity,Plant diversity,Community,6,1,0.06,6,1.95,1.02,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,21,ES423,PUB26_4,Unknown,73.09,33.73,Observational,Asia-Tropical,Islamabad,Pakistan,,Figure 4,Species evenness (J?),Plant diversity,Community,6,2.37,0.06,6,4.32,0.23,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,22,ES424,PUB26_5,Unknown,73.7276,32.9405,Observational,Asia-Tropical,Jhelum,Pakistan,,Figure 4,No. of plant species (S)/10m2,Plant richness,Community,6,13.5,0.65,6,17.8,0.95,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,23,ES425,PUB26_5,Unknown,73.7276,32.9405,Observational,Asia-Tropical,Jhelum,Pakistan,,Figure 4,Plant Abundance (N)/10m2,Plant abundance,Community,6,20.45,1.1,6,20.95,1.2,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,24,ES426,PUB26_5,Unknown,73.7276,32.9405,Observational,Asia-Tropical,Jhelum,Pakistan,,Figure 4,Plant species Richness (R),Plant richness,Community,6,3.6,0.15,6,4.6,0.2,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,25,ES427,PUB26_5,Unknown,73.7276,32.9405,Observational,Asia-Tropical,Jhelum,Pakistan,,Figure 4,Shannon index of diversity,Plant diversity,Community,6,1,0.05,6,1.9,0.1,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,26,ES428,PUB26_5,Unknown,73.7276,32.9405,Observational,Asia-Tropical,Jhelum,Pakistan,,Figure 4,Species evenness (J?),Plant diversity,Community,6,2.7,0.2,6,2.8,0.2,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,27,ES429,PUB26_5,Unknown,73.7276,32.9405,Observational,Asia-Tropical,Jhelum,Pakistan,,Figure 4,Simpson index of dominance (?),Plant abundance,Community,6,0.1,0.05,6,0.75,0.05,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,28,ES430,PUB26_6,Unknown,73.04,33.59,Observational,Asia-Tropical,Rawalpindi,Pakistan,,Figure 4,No. of plant species (S)/10m2,Plant richness,Community,6,12.45,0.65,6,16.04,0.68,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,29,ES431,PUB26_6,Unknown,73.04,33.59,Observational,Asia-Tropical,Rawalpindi,Pakistan,,Figure 4,Plant Abundance (N)/10m2,Plant abundance,Community,6,11.85,0.55,6,18.78,0.77,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,30,ES432,PUB26_6,Unknown,73.04,33.59,Observational,Asia-Tropical,Rawalpindi,Pakistan,,Figure 4,Plant species Richness (R),Plant richness,Community,6,3.29,0.14,6,4.05,0.21,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,31,ES433,PUB26_6,Unknown,73.04,33.59,Observational,Asia-Tropical,Rawalpindi,Pakistan,,Figure 4,Shannon index of diversity,Plant diversity,Community,6,0.9,0.07,6,1.9,0.1,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,32,ES434,PUB26_6,Unknown,73.04,33.59,Observational,Asia-Tropical,Rawalpindi,Pakistan,,Figure 4,Species evenness (J?),Plant diversity,Community,6,2.69,0.15,6,2.82,0.16,1,6
Qureshi et al. 2021. Brazilian Journal of Biology 81(1): 83-91,PUB26,2021,33,ES435,PUB26_6,Unknown,73.04,33.59,Observational,Asia-Tropical,Rawalpindi,Pakistan,,Figure 4,Simpson index of dominance (?),Plant abundance,Community,6,0.23,0.06,6,0.44,0.05,1,6
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,1,ES436,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Figure 2,Mean number of fungal species,Microbial richness,Community,10,7.5,5.439117575,10,9.08,8.127053587,1,10
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,2,ES437,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Figure 2,Mean number of fungal species,Microbial richness,Community,10,4,4.711793714,10,4,2.276839915,1,10
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,3,ES438,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Figure 2,Mean number of fungal species,Microbial richness,Community,10,3.72,1.67600716,10,3.61,1.707629936,1,10
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,4,ES439,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Figure 2,Mean number of fungal species,Microbial richness,Community,10,3.52,2.118726032,10,5.01,2.972541001,1,10
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,5,ES440,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Figure 2,Mean number of fungal species,Microbial richness,Community,10,3.6,2.055480479,10,3.92,2.276839915,1,10
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,6,ES441,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil pH,pH,Ecosystem,3,5.5,0.173205081,3,5.2,0.398371686,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,7,ES442,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Ammonium (mg/kg),N pools,Ecosystem,3,1.9,0.294448637,3,1.4,1.039230485,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,8,ES443,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Nitrate (mg/kg),Macronutrients,Ecosystem,3,4.3,1.524204711,3,4.3,1.160474041,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,9,ES444,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Potassium (mg/kg),Macronutrients,Ecosystem,3,137,17.32050808,3,128,22.5166605,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,10,ES445,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Phosphorus (mg/kg),P pools,Ecosystem,3,1.7,0.571576766,3,1.7,0.571576766,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,11,ES446,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Calcium (mg/kg),Macronutrients,Ecosystem,3,517,105.6550993,3,440,90.06664199,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,12,ES447,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Magnesium (mg/kg),Macronutrients,Ecosystem,3,118,22.5166605,3,100,10.39230485,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,13,ES448,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Organic Carbon (%),C pools,Ecosystem,3,1.1,0.051961524,3,1.3,0.346410162,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,14,ES449,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Chloride (mg/kg),Micronutrients,Ecosystem,3,12.3,1.558845727,3,13.3,8.487048957,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,15,ES450,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Sodium (mg/kg),Salinity,Ecosystem,3,23,6.92820323,3,21.3,3.637306696,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,16,ES451,PUB27_1,Forest,152.1059221,-27.2535968,Observational,Australasia,"Crows Nest National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil CEC (MEq/100g),Salinity,Ecosystem,3,4,0.692820323,3,3.5,0.692820323,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,17,ES452,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil pH,pH,Ecosystem,3,7.8,0.017320508,3,7.4,0.138564065,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,18,ES453,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Ammonium (mg/kg),N pools,Ecosystem,3,2.2,1.091192009,3,1,0.225166605,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,19,ES454,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Nitrate (mg/kg),Macronutrients,Ecosystem,3,14.7,4.035678382,3,5,1.004589468,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,20,ES455,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Potassium (mg/kg),Macronutrients,Ecosystem,3,1268,187.0614872,3,719,112.5833025,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,21,ES456,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Phosphorus (mg/kg),P pools,Ecosystem,3,210.3,94.91638425,3,78,9.526279442,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,22,ES457,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Calcium (mg/kg),Macronutrients,Ecosystem,3,13277,1416.817561,3,5160,417.4242446,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,23,ES458,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Magnesium (mg/kg),Macronutrients,Ecosystem,3,1254,131.6358614,3,1371,90.06664199,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,24,ES459,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Organic Carbon (%),C pools,Ecosystem,3,4,0.017320508,3,3.1,0.121243557,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,25,ES460,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Chloride (mg/kg),Micronutrients,Ecosystem,3,50,41.56921938,3,13.3,2.944486373,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,26,ES461,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil Sodium (mg/kg),Salinity,Ecosystem,3,47,21.47743001,3,25.3,12.99038106,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,27,ES462,PUB27_2,Forest,151.6939158,-27.793497,Observational,Australasia,"Felton, Toowoomba region, Queensland",Australia,,Table 3,Soil CEC (MEq/100g),Salinity,Ecosystem,3,80.3,8.140638796,3,39.8,2.372909606,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,28,ES463,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil pH,pH,Ecosystem,3,6.1,0.311769145,3,6,0.034641016,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,29,ES464,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Ammonium (mg/kg),N pools,Ecosystem,3,3.6,0.779422863,3,2.7,0.53693575,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,30,ES465,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Nitrate (mg/kg),Macronutrients,Ecosystem,3,8,2.650037736,3,5.3,2.511473671,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,31,ES466,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Potassium (mg/kg),Macronutrients,Ecosystem,3,160,22.68986558,3,128,27.36640276,1,3
